,Benchmarking,Account,Portfolio,Quotes,System Configuration
ManagedThreadFactory,0.05405405405405406,0.0,0.14893617021276595,0.0,0.0
BigDecimal,0.05405405405405406,0.5052083333333334,0.9893617021276596,0.7473684210526316,0.4
PingWebSocketJson,0.02702702702702703,0.0,0.0,0.0,0.0
ApplicationException,0.0,0.03125,0.0,0.0,0.0
PingServlet2Session2Entity2JSP,0.02702702702702703,0.0,0.0,0.0,0.0
Log,0.4594594594594595,0.9895833333333334,0.9893617021276596,1.0,1.0
RecentStockChangeList,0.0,0.2708333333333333,0.5,0.4105263157894737,0.0
FilterChain,0.02702702702702703,0.9895833333333334,0.9893617021276596,1.0,0.2
InputStream,0.0,0.25,0.2553191489361702,0.25263157894736843,0.0
MarketSummaryDataBean,0.0,0.3072916666666667,0.0,0.4105263157894737,0.0
URL,0.02702702702702703,0.0,0.0,0.0,0.0
TopicConnectionFactory,0.0,0.0,0.2553191489361702,0.0,0.0
quoteDataPrimitive(jsp),0.05405405405405406,0.0,0.0,0.0,0.0
PingInterceptor,0.08108108108108109,0.0,0.0,0.0,0.0
TradeAction$Proxy$_$$_WeldClientProxy,0.0,0.0,0.0,0.0,0.0
PingJspEL(jsp),0.02702702702702703,0.0,0.0,0.0,0.0
CriteriaQuery,0.02702702702702703,0.4427083333333333,0.5106382978723404,0.5052631578947369,0.0
FacesContext,0.0,0.0,0.0,0.0,0.0
AccountDataBean,0.05405405405405406,0.75,0.5106382978723404,0.0,0.4
PingServlet2JNDI,0.02702702702702703,0.0,0.0,0.0,0.0
PingServlet2PDF,0.02702702702702703,0.0,0.0,0.0,0.0
PingServlet2TwoPhase,0.02702702702702703,0.0,0.0,0.0,0.0
PingJSONP,0.02702702702702703,0.0,0.0,0.0,0.0
EJSContainer,0.2702702702702703,0.4947916666666667,0.7659574468085106,0.5052631578947369,0.0
BufferedOutputStream,0.02702702702702703,0.0,0.0,0.0,0.0
JsonObject,0.02702702702702703,0.24479166666666666,0.0,0.4,0.0
Exception,0.21621621621621623,0.0,0.0,0.0,0.0
JsonDecoder,0.02702702702702703,0.0,0.0,0.0,0.0
Iterator,0.02702702702702703,0.6875,0.8829787234042553,0.7263157894736842,0.4
PingSession1,0.02702702702702703,0.0,0.0,0.0,0.0
PingManagedThread,0.02702702702702703,0.0,0.0,0.0,0.0
JsonEncoder,0.02702702702702703,0.0,0.0,0.0,0.0
PingServlet2Session2CMROne2One,0.02702702702702703,0.0,0.0,0.0,0.0
quoteejb(table),0.10810810810810811,0.109375,0.4787234042553192,0.43157894736842106,0.6
PingCDIBean,0.08108108108108109,0.0,0.0,0.0,0.0
Connection,0.1891891891891892,0.4947916666666667,0.4787234042553192,0.49473684210526314,0.8
