,Specialty,specialties(table),Vet,vet_specialties(table),vetList(html),VetRepository,VetController,vets(table),Vets,CacheConfiguration,Visit,VisitRepository,VisitController,visits(table),createOrUpdateVisitForm(html),OwnerController,Owner,ownerDetails(html),createOrUpdateOwnerForm(html),ownersList(html),OwnerRepository,owners(table),Pet,createOrUpdatePetForm(html),PetRepository,PetController,pets(table),PetType,types(table),PetValidator,PetTypeFormatter,findOwners(html),BaseEntity,NamedEntity,Person,PetClinicApplication,WelcomeController,CrashController,error(html),inputField(html),selectField(html),welcome(html),layout(html),package-info
Visit,0.4655835253692883,0.46018456437930744,0.4251999504923361,0.43282327990186353,0.4251999504923361,0.4251999504923361,0.4251999504923361,0.45882565921362584,0.45882565921362584,0.4799592893625546,0.48801586288045595,0.48801586288045595,0.3450793259693748,0.6535574627859009,0.511456178430203,0.9195652702988303,0.9195652702988303,0.8650688554065231,0.7057033444534336,0.8007936381397238,0.9195652702988303,0.9437301750508049,0.8981151054061246,0.6966131053016685,0.8981151054061246,0.7551785684950434,0.9275590419101213,0.9047177987786963,1.0,0.7788100331122291,0.7879084534320622,0.8007936381397238,0.8566314555356329,0.8100405148603442,0.8592639496042159,0.37264673615709304,0.33343355974903166,0.4534489759370383,0.47407255251244307,0.9710278083944438,0.7122215184289059,0.33343355974903166,0.845005312342316,0.47407255251244307
VisitRepository,0.4655835253692883,0.46018456437930744,0.4251999504923361,0.43282327990186353,0.4251999504923361,0.4251999504923361,0.4251999504923361,0.45882565921362584,0.45882565921362584,0.4799592893625546,0.48801586288045595,0.48801586288045595,0.3450793259693748,0.6535574627859009,0.511456178430203,0.9195652702988303,0.9195652702988303,0.8650688554065231,0.7057033444534336,0.8007936381397238,0.9195652702988303,0.9437301750508049,0.8981151054061246,0.6966131053016685,0.8981151054061246,0.7551785684950434,0.9275590419101213,0.9047177987786963,1.0,0.7788100331122291,0.7879084534320622,0.8007936381397238,0.8566314555356329,0.8100405148603442,0.8592639496042159,0.37264673615709304,0.33343355974903166,0.4534489759370383,0.47407255251244307,0.9710278083944438,0.7122215184289059,0.33343355974903166,0.845005312342316,0.47407255251244307
VisitController,0.4655835253692883,0.46018456437930744,0.4251999504923361,0.43282327990186353,0.4251999504923361,0.4251999504923361,0.4251999504923361,0.45882565921362584,0.45882565921362584,0.4799592893625546,0.3450793259693748,0.3450793259693748,0.4880158628804561,0.5106209258748198,0.6543927153412843,0.7766287333877491,0.7766287333877491,0.722132318495442,0.3606240184840589,0.4557143121703491,0.7766287333877491,0.8007936381397238,0.7551785684950434,0.35153377933229374,0.7551785684950434,0.4100992425256685,0.7846225049990401,0.7617812618676152,0.8570634630889189,0.4337307071428542,0.4428291274626873,0.4557143121703491,0.7399242618580854,0.6933333211827967,0.7425567559266683,0.37264673615709304,0.33343355974903166,0.4534489759370383,0.47407255251244307,0.8280912714833625,0.3671421924595312,0.33343355974903166,0.7282981186647686,0.47407255251244307
visits(table),0.439852829271627,0.39897477260217307,0.3984343726332116,0.37484058218425126,0.3984343726332116,0.3984343726332116,0.3984343726332116,0.40149898768851083,0.40149898768851083,0.4677968589681333,0.6535574627859009,0.6535574627859009,0.5106209258748198,0.4880158628804561,0.6379095630029119,0.9133833472260443,0.9133833472260443,0.925469119383031,0.7566020675961325,0.7836289725004356,0.9133833472260443,0.9265655094115167,0.884636861284807,0.7413463256510181,0.884636861284807,0.7417003243737257,0.9029577877583973,0.886130841108253,0.935172336090421,0.7793457773286964,0.7676005638478554,0.7836289725004356,0.8338015059452337,0.8248386144936312,0.8419767751021852,0.36027866010059056,0.378609638816733,0.45106779025983973,0.47407255251244307,0.9166010645390571,0.7580040719538533,0.378609638816733,0.8198361251946247,0.47407255251244307
createOrUpdateVisitForm(html),0.42285359745316653,0.4604910680129934,0.42650154604735024,0.43388000948726835,0.42650154604735024,0.42650154604735024,0.42650154604735024,0.44511740797886085,0.44511740797886085,0.403042138562334,0.511456178430203,0.511456178430203,0.6543927153412843,0.6379095630029119,0.4880158628804561,0.7795525758538719,0.7795525758538719,0.69177586956396,0.09194718956494922,0.4074431169224407,0.7795525758538719,0.7525224428918156,0.7644536993042026,0.09712350086359456,0.7644536993042026,0.41937437333482785,0.7699619089486847,0.7151703119156168,0.7612421001829298,0.3842160842732694,0.34093244032035624,0.4074431169224407,0.7371208742707646,0.683763679671748,0.7109512885799106,0.34922353248613985,0.3099291836394414,0.4355155503453452,0.47407255251244307,0.7255393235863382,0.3097617163287366,0.3099291836394414,0.6675213158956638,0.47407255251244307
OwnerController,0.4237102917307075,0.4757688519090062,0.37633290579179046,0.41103680368444295,0.37633290579179046,0.37633290579179046,0.37633290579179046,0.4245269535431674,0.4245269535431674,0.4515807185392911,0.9195652702988303,0.9195652702988303,0.7766287333877491,0.9133833472260443,0.7795525758538719,0.4880158628804561,0.4880158628804561,0.6467947070394405,0.5786872275557693,0.4930862400966469,0.4880158628804561,0.636022777007728,0.8386349055035259,0.7356349412003765,0.8386349055035259,0.6956983685924447,0.8784572669504344,0.8397373580567898,0.9504807485226323,0.7026505102467824,0.711936698312856,0.4930862400966469,0.8673295890505581,0.8012045997112528,0.7706541787962959,0.3618135847847275,0.4376963351677467,0.45020211941014804,0.47407255251244307,0.9744361508674525,0.8346361882577285,0.4376963351677467,0.8081663916639643,0.47407255251244307
Owner,0.4237102917307075,0.4757688519090062,0.37633290579179046,0.41103680368444295,0.37633290579179046,0.37633290579179046,0.37633290579179046,0.4245269535431674,0.4245269535431674,0.4515807185392911,0.9195652702988303,0.9195652702988303,0.7766287333877491,0.9133833472260443,0.7795525758538719,0.4880158628804561,0.4880158628804561,0.6467947070394405,0.5786872275557693,0.4930862400966469,0.4880158628804561,0.636022777007728,0.8386349055035259,0.7356349412003765,0.8386349055035259,0.6956983685924447,0.8784572669504344,0.8397373580567898,0.9504807485226323,0.7026505102467824,0.711936698312856,0.4930862400966469,0.8673295890505581,0.8012045997112528,0.7706541787962959,0.3618135847847275,0.4376963351677467,0.45020211941014804,0.47407255251244307,0.9744361508674525,0.8346361882577285,0.4376963351677467,0.8081663916639643,0.47407255251244307
ownerDetails(html),0.43810788253343635,0.4659297680717922,0.3957643458351492,0.417295206449604,0.3957643458351492,0.3957643458351492,0.3957643458351492,0.43616133163969323,0.43616133163969323,0.4179255338901783,0.8650688554065231,0.8650688554065231,0.722132318495442,0.925469119383031,0.69177586956396,0.6467947070394405,0.6467947070394405,0.48801586288045595,0.5833162344666722,0.5978014423311322,0.6467947070394405,0.7407379792422134,0.848301413766509,0.674666312407759,0.848301413766509,0.7053648768554279,0.8732257302774116,0.8289385997481562,0.9105270545200684,0.6989277636247078,0.6957315357064486,0.5978014423311322,0.8622188790664039,0.8044955095731517,0.7674493989311864,0.3531506111892922,0.4336547030280059,0.423417779985253,0.47407255251244307,0.9038145091782239,0.8063110292479652,0.4336547030280059,0.7908872385420227,0.47407255251244307
createOrUpdateOwnerForm(html),0.3986764731599182,0.4670634205103145,0.4017884175706639,0.4219978691079208,0.4017884175706639,0.4017884175706639,0.4017884175706639,0.4271430203154513,0.4271430203154513,0.38220581543927046,0.7057033444534336,0.7057033444534336,0.3606240184840589,0.7566020675961325,0.09194718956494922,0.5786872275557693,0.5786872275557693,0.5833162344666722,0.4880158628804561,0.7475504645348198,0.5786872275557693,0.6046139276237384,0.7349640107491998,0.5708834580801672,0.7349640107491998,0.8779005476602812,0.7441506777923367,0.6776285203521369,0.7301827339236372,0.8300277952204272,0.7817995783159227,0.7475504645348198,0.7410193573205186,0.6757535311600404,0.6661384639333453,0.33701973056530404,0.3489956406745198,0.4311797409623207,0.47407255251244307,0.7168456846605294,0.8432746182092908,0.3489956406745198,0.6428928669762142,0.47407255251244307
ownersList(html),0.46504132211981797,0.4721970127043831,0.38829911826882557,0.4165330395223181,0.38829911826882557,0.38829911826882557,0.38829911826882557,0.3489960213990874,0.3489960213990874,0.447665683031611,0.8007936381397238,0.8007936381397238,0.4557143121703491,0.7836289725004356,0.4074431169224407,0.4930862400966469,0.4930862400966469,0.5978014423311322,0.7475504645348198,0.48801586288045634,0.4930862400966469,0.3450793259693751,0.6661194695547187,0.8228710587976489,0.6661194695547187,0.8090560064658001,0.6639148031773616,0.6709150642420321,0.7492808139765131,0.8452388796313709,0.8348379388274231,0.48801586288045634,0.7449141561214306,0.7174656090637488,0.711969156449309,0.35168205621931375,0.409706233460192,0.46249541555563406,0.47407255251244307,0.7705959027657532,0.9298474315614332,0.409706233460192,0.6776299397376683,0.47407255251244307
OwnerRepository,0.4237102917307075,0.4757688519090062,0.37633290579179046,0.41103680368444295,0.37633290579179046,0.37633290579179046,0.37633290579179046,0.4245269535431674,0.4245269535431674,0.4515807185392911,0.9195652702988303,0.9195652702988303,0.7766287333877491,0.9133833472260443,0.7795525758538719,0.4880158628804561,0.4880158628804561,0.6467947070394405,0.5786872275557693,0.4930862400966469,0.4880158628804561,0.636022777007728,0.8386349055035259,0.7356349412003765,0.8386349055035259,0.6956983685924447,0.8784572669504344,0.8397373580567898,0.9504807485226323,0.7026505102467824,0.711936698312856,0.4930862400966469,0.8673295890505581,0.8012045997112528,0.7706541787962959,0.3618135847847275,0.4376963351677467,0.45020211941014804,0.47407255251244307,0.9744361508674525,0.8346361882577285,0.4376963351677467,0.8081663916639643,0.47407255251244307
owners(table),0.46504132211981797,0.4721970127043831,0.38829911826882557,0.4165330395223181,0.38829911826882557,0.38829911826882557,0.38829911826882557,0.3489960213990874,0.3489960213990874,0.447665683031611,0.9437301750508049,0.9437301750508049,0.8007936381397238,0.9265655094115167,0.7525224428918156,0.636022777007728,0.636022777007728,0.7407379792422134,0.6046139276237384,0.3450793259693751,0.636022777007728,0.48801586288045623,0.8090560064657998,0.6799345218865676,0.8090560064657998,0.6661194695547187,0.8068513400884428,0.8138516011531133,0.8922173508875942,0.7023023427202895,0.6919014019163418,0.3450793259693751,0.8616213497989782,0.8341728027412961,0.8286763501268565,0.35168205621931375,0.409706233460192,0.46249541555563406,0.47407255251244307,0.9135324396768345,0.7869108946503519,0.409706233460192,0.7943371334152157,0.47407255251244307
Pet,0.3851900799749492,0.43969939015624304,0.23342123371057455,0.2934154559094639,0.23342123371057455,0.23342123371057455,0.23342123371057455,0.28756210651025,0.28756210651025,0.4649326641160938,0.8981151054061246,0.8981151054061246,0.7551785684950434,0.884636861284807,0.7644536993042026,0.8386349055035259,0.8386349055035259,0.848301413766509,0.7349640107491998,0.6661194695547187,0.8386349055035259,0.8090560064657998,0.48801586288045595,0.5521671383451521,0.48801586288045595,0.3450793259693748,0.5964838557389615,0.559834082705644,0.9129791553568322,0.48098701190455256,0.5015687455623726,0.6661194695547187,0.8405998717970398,0.8258913424245157,0.7668569082091913,0.1583355760987862,0.44410175795226564,0.4669425452151989,0.47407255251244307,0.9460429566479581,0.77304248431289,0.44410175795226564,0.8190187279367315,0.47407255251244307
createOrUpdatePetForm(html),0.3788654363188117,0.4491303851253077,0.3257221455054336,0.3602280765770448,0.3257221455054336,0.3257221455054336,0.3257221455054336,0.35621671687224693,0.35621671687224693,0.391232875379012,0.6966131053016685,0.6966131053016685,0.35153377933229374,0.7413463256510181,0.09712350086359456,0.7356349412003765,0.7356349412003765,0.674666312407759,0.5708834580801672,0.8228710587976489,0.7356349412003765,0.6799345218865676,0.5521671383451521,0.4880158628804561,0.5521671383451521,0.6951036752562334,0.5984576361799283,0.533148881585994,0.713964087028745,0.715138700779314,0.6752025298405507,0.8228710587976489,0.7276967045138663,0.686879299933407,0.661188075281019,0.23184874353205998,0.3549289566481077,0.4398610690417175,0.47407255251244307,0.7073553647448799,0.8177864009231739,0.3549289566481077,0.6487702465217481,0.47407255251244307
